date,pool_name,daily_apy,volume_in_usd,token1,token1_tvl_in_usd,token2,token2_tvl_in_usd,token3,token3_tvl_in_usd,token4,token4_tvl_in_usd,total_tvl_in_usd
2022-02-10,Curve.fi Factory USD Metapool: xDollar Interverse Money,0,0,XIM,0.0,3Crv,0.0,,0,,0,0.0
2022-02-10,Curve.fi Factory USD Metapool: xim,0.0697349380245349,0,XIM,5952.9044639513495,3Crv,2831.505324910689,,0,,0,8784.409788862038
2022-02-10,Curve.fi Factory USD Metapool: RAMP rUSD,0,0,rUSD,0.014313588726899593,3Crv,0.014317359473757636,,0,,0,0.02863094820065723
2022-02-10,Curve.fi Factory USD Metapool: Bhome,0.10755646986309042,0,bHOME,250.0,3Crv,250.02330694350445,,0,,0,500.02330694350445
2022-02-10,Curve.fi Factory Plain Pool: JPYC/ibJPY,0,0,JPYC,6824.8372415154545,ibJPY,973.2311050879947,,0,,0,7798.068346603449
2022-02-10,Curve.fi Factory Plain Pool: UST-FRAX,0,0,UST,285149.321107,FRAX,315528.1101029733,,0,,0,600677.4312099733
2022-02-10,Curve.fi Factory Plain Pool: Fei PCV 1,0,0,aFEI,0.0,aDAI,0.0,LUSD,0.0,,0,0.0
2022-02-10,Curve.fi Factory Plain Pool: bentCVX,0.07546619137865918,0,CVX,2484887.815119798,bentCVX,0.0,,0,,0,2484887.815119798
2022-02-10,Curve.fi Factory USD Metapool: dForce,0.10909967547965138,0,USX,108400.92970884786,3Crv,111594.23732567408,,0,,0,219995.16703452193
2022-02-10,Curve.fi Factory Plain Pool: agEUR/ibEUR,0.056762608144556026,79945.09451534686,ibEUR,6663436.552672594,agEUR,4995072.865875024,,0,,0,11658509.41854762
2022-02-10,Curve.fi Factory Plain Pool: tFRAX/FRAX Test,0,0,tFRAX,99.82423153318129,FRAX,103.62898395746606,,0,,0,203.45321549064735
2022-02-10,Curve.fi Factory USD Metapool: ELONX POOL,0.06306455499456298,0,ELONX,90808.6,3Crv,465.01295254974593,,0,,0,91273.61295254975
2022-02-10,Curve.fi Factory USD Metapool: Bean,0.19558743601266748,32156.331210000004,BEAN,1313608.9695920378,3Crv,1307487.3942010924,,0,,0,2621096.36379313
2022-02-10,Curve.fi Factory USD Metapool: USDV,0.47097668260438486,9787.821793,USDV,1484146.558335977,3Crv,1452735.9468041954,,0,,0,2936882.5051401723
2022-02-10,Curve.fi Factory USD Metapool: PAR/USDC,0,0,PAR,0.0,3Crv,0.0,,0,,0,0.0
2022-02-10,Curve.fi Factory USD Metapool: baoUSD,0.10753797466467319,0,BaoUSD,25000.0,3Crv,24992.858937414094,,0,,0,49992.858937414094
